UNIQUE_KEY,PRODUCT_TITLE,PRODUCT_DESCRIPTION,STYLE#,AVAILABLE_SIZES,BRAND_LOGO_IMAGE,THUMBNAIL_IMAGE,COLOR_SWATCH_IMAGE,PRODUCT_IMAGE,SPEC_SHEET,PRICE_TEXT,SUGGESTED_PRICE,CATEGORY_NAME,SUBCATEGORY_NAME,COLOR_NAME,COLOR_SQUARE_IMAGE,COLOR_PRODUCT_IMAGE,COLOR_PRODUCT_IMAGE_THUMBNAIL,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZENS_PRICE,CASE_PRICE,PRICE_GROUP,CASE_SIZE,INVENTORY_KEY,SIZE_INDEX,SANMAR_MAINFRAME_COLOR,MILL,PRODUCT_STATUS,COMPANION_STYLE,MSRP,MAP_PRICING,FRONT_MODEL_IMAGE_URL,PRODUCT_MEASUREMENTS
1291682,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Black,bc_black.gif,BC3483_black_model_front.jpg,BC3483_black_model_frontTN.jpg,S,0.2200,7.25,7.25,5.25,CR,72,129168,2,Black,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_black_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291683,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Black,bc_black.gif,BC3483_black_model_front.jpg,BC3483_black_model_frontTN.jpg,M,0.2500,7.25,7.25,5.25,CR,72,129168,3,Black,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_black_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291684,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Black,bc_black.gif,BC3483_black_model_front.jpg,BC3483_black_model_frontTN.jpg,L,0.2600,7.25,7.25,5.25,CR,72,129168,4,Black,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_black_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291685,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Black,bc_black.gif,BC3483_black_model_front.jpg,BC3483_black_model_frontTN.jpg,XL,0.2900,7.25,7.25,5.25,CR,72,129168,5,Black,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_black_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291691,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,13.5,T-Shirts , ,Black,bc_black.gif,BC3483_black_model_front.jpg,BC3483_black_model_frontTN.jpg,2XL,0.3200,8.75,8.75,6.75,CX,72,129169,1,Black,Bella + Canvas,New,BC3483,13.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_black_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291702,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Dark Grey Heather,BC3483_DarkGreyHeather_VPI26.gif,BC3483_darkgreyheather_model_front.jpg,BC3483_darkgreyheather_model_frontTN.jpg,S,0.2200,7.25,7.25,5.25,CR,72,129170,2,Dark Grey Ht,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_darkgreyheather_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291703,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Dark Grey Heather,BC3483_DarkGreyHeather_VPI26.gif,BC3483_darkgreyheather_model_front.jpg,BC3483_darkgreyheather_model_frontTN.jpg,M,0.2500,7.25,7.25,5.25,CR,72,129170,3,Dark Grey Ht,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_darkgreyheather_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291704,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Dark Grey Heather,BC3483_DarkGreyHeather_VPI26.gif,BC3483_darkgreyheather_model_front.jpg,BC3483_darkgreyheather_model_frontTN.jpg,L,0.2600,7.25,7.25,5.25,CR,72,129170,4,Dark Grey Ht,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_darkgreyheather_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291705,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,Dark Grey Heather,BC3483_DarkGreyHeather_VPI26.gif,BC3483_darkgreyheather_model_front.jpg,BC3483_darkgreyheather_model_frontTN.jpg,XL,0.2900,7.25,7.25,5.25,CR,72,129170,5,Dark Grey Ht,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_darkgreyheather_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291711,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,13.5,T-Shirts , ,Dark Grey Heather,BC3483_DarkGreyHeather_VPI26.gif,BC3483_darkgreyheather_model_front.jpg,BC3483_darkgreyheather_model_frontTN.jpg,2XL,0.3200,8.75,8.75,6.75,CX,72,129171,1,Dark Grey Ht,Bella + Canvas,New,BC3483,13.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_darkgreyheather_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291722,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,S,0.2200,7.25,7.25,5.25,CR,72,129172,2,White,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
